Cle,Zone,region_fr,province_fr,cercle_fr,commune_fr,nom_fr,nom_ar,type_localite,caractere_zone,milieu,population,menage,total_menages_sd,Longitude,Latitude
Ida Ougoummad - Tagadirt Nbahmouch,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ida Ougoummad,Tagadirt Nbahmouch,تكاديرت نباحموش,douar,,rural,260,42,,-8.236964,30.753525
Igoudar Mnabha - Abghnane,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Igoudar Mnabha,Abghnane,أبغنان,douar,,rural,60,10,,-8.447899,30.6146989
Igoudar Mnabha - Chrayr,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Igoudar Mnabha,Chrayr,الشراير,douar,,rural,705,105,96,-8.447899,30.6146989
Igoudar Mnabha - Agadir Jdid,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Igoudar Mnabha,Agadir Jdid,أكادير الجديد,sous-douar,,rural,550,83,0,-8.481602,30.68338
Igoudar Mnabha - Agadir Laarab,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Igoudar Mnabha,Agadir Laarab,أكادير العرب,sous-douar,,rural,105,13,0,-8.471275,30.679115
Igoudar Mnabha - Lmghafra,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Igoudar Mnabha,Lmghafra,المغافرة,douar,,rural,394,86,9,-8.447899,30.6146989
Igoudar Mnabha - Oulad Rajeh,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Igoudar Mnabha,Oulad Rajeh,أولاد راجح,douar,,rural,31,5,,-8.427759,30.695945
Igoudar Mnabha - Oulad Amrane,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Igoudar Mnabha,Oulad Amrane,أولاد عمران,douar,,rural,307,66,,-8.430148,30.682266
Igoudar Mnabha - Oulad Driss Fouqania,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Igoudar Mnabha,Oulad Driss Fouqania,أولاد دريس الفوقانية,douar,,rural,1060,236,60,-8.447899,30.6146989
Igoudar Mnabha - Oulad Fares,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Igoudar Mnabha,Oulad Fares,أولاد فارس,douar,,rural,580,115,45,-8.457944,30.710322
Igoudar Mnabha - Agadir Lghdir,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Igoudar Mnabha,Agadir Lghdir,أكادير الغدير,sous-douar,,rural,230,45,0,-9.5981072,30.4277547
Igoudar Mnabha - Oulad Zekri,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Igoudar Mnabha,Oulad Zekri,أولاد زكري,douar,,rural,350,90,30,-8.454956,30.702092
Igoudar Mnabha - Oulad Karim,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Igoudar Mnabha,Oulad Karim,أولاد كريم,sous-douar,,rural,100,30,0,-8.458167,30.703498
Igoudar Mnabha - Zaouiat Sidi Abdellah Ou Moussa,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Igoudar Mnabha,Zaouiat Sidi Abdellah Ou Moussa,زاوية سيدي عبد الله أوموسى,douar,,rural,320,70,5,-8.447899,30.6146989
Igoudar Mnabha - Oulad Ali,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Igoudar Mnabha,Oulad Ali,أولاد علي,sous-douar,,rural,20,5,0,-8.438335,30.706418
Ouneine - Afourigh,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Afourigh,أفوريغ,douar,,rural,40,12,,-8.138464,30.880531
Ouneine - Aghilas,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Aghilas,أغيلاس,douar,,rural,124,20,,-8.194362,30.783098
Ouneine - Ait Soual,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Ait Soual,أيت سوال,douar,,rural,200,42,8,-8.202781,30.889929
Ouneine - Ait Lqadi,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Ait Lqadi,أيت القاضي,sous-douar,,rural,41,8,0,-8.187128399999999,30.8646914
Ouneine - Ait Yassine,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Ait Yassine,أيت ياسين,douar,,rural,180,44,,-8.145552,30.904499
Ouneine - Ait Sekri,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Ait Sekri,أيت سكري,douar,,rural,75,17,,-8.187128399999999,30.8646914
Ouneine - Anzi,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Anzi,أنزي,douar,,rural,318,49,,-8.198091,30.840443
Ouneine - Ait Ougja,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Ait Ougja,أيت أوكجا,douar,,rural,44,7,,-8.187128399999999,30.8646914
Ouneine - Sdiw,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Sdiw,سديو,douar,,rural,60,10,,-8.187128399999999,30.8646914
Ouneine - Sidi Ali Oubrahim,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Sidi Ali Oubrahim,سيدي علي أوبراهيم,douar,,rural,40,8,,-8.250194,30.804205
Ouneine - Taliouine Nait Lmimoune,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Taliouine Nait Lmimoune,تالوين نايت لميمون,douar,,rural,86,16,,-8.185114,30.820385
Ouneine - Tamedghoust,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Tamedghoust,تمضغوست,douar,,rural,270,42,,-8.187128399999999,30.8646914
Ouneine - Tamsloumt,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Tamsloumt,تمسلومت,douar,,rural,170,34,,-8.0983624,31.49451089999999
Ouneine - Taqourdmi,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Taqourdmi,تقورضمي,douar,,rural,160,36,,-8.187128399999999,30.8646914
Ouneine - Fouska,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Fouska,فوسكا,sous-douar,,rural,20,4,0,-8.136136,30.866783
Ouneine - Tasguint,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Tasguint,تسكينت,douar,,rural,113,17,,-8.208566,30.825748
Ouneine - Tinsamlal,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Tinsamlal,تينسملال,douar,,rural,165,27,,-8.217989,30.883426
Ouneine - Tizgui Nait Khlef,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Tizgui Nait Khlef,تيزكي نايت خلف,douar,,rural,80,17,,-8.187128399999999,30.8646914
Ouneine - Zaouit Ait Khlef,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Zaouit Ait Khlef,زاويت أيت خلف,douar,,rural,140,25,,-8.187128399999999,30.8646914
Ouneine - Arbaa Tamterga,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Arbaa Tamterga,أربعاء تمتركا,douar,,rural,200,56,,-8.2035278,30.8836059
Ouneine - Idqi,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Idqi,إدقي,douar,,rural,50,8,,-8.187128399999999,30.8646914
Ouneine - Ait Lhaj,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Ait Lhaj,أيت الحاج,douar,,rural,53,11,,-8.187128399999999,30.8646914
Ouneine - Ait Tadrart,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Ait Tadrart,أيت تدرارت,douar,,rural,62,10,,-8.241043,30.85253
Ouneine - Arghene,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Arghene,أرغن,douar,,rural,90,16,,-8.187128399999999,30.8646914
Ouneine - Frak,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Frak,فراك,douar,,rural,30,6,,-8.189468,30.853314
Ouneine - Tadroukht,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Tadroukht,تضروخت,douar,,rural,270,31,,-8.197927,30.802136
Ouneine - Tamarourt,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Tamarourt,تمارورت,douar,,rural,35,7,,-8.218727,30.898684
Ouneine - Taourirt Tamterga,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Taourirt Tamterga,تاوريرت تمتركا,douar,,rural,184,50,,-2.8935028,34.3983716
Ouneine - Taourirt Nibhirine,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Taourirt Nibhirine,تاوريرت نيبحيرين,douar,,rural,138,21,,-2.8935028,34.3983716
Ouneine - Tagnit Tamterga,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Tagnit Tamterga,تكنيت تمتركة,douar,,rural,160,31,,-8.2035278,30.8836059
Ouneine - Toug Lkhir,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Toug Lkhir,توك الخير,douar,,rural,215,31,,-8.182819,30.864415
Ouneine - Agdane,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Agdane,أكدان,douar,,rural,110,21,,-8.156902,30.855805
Ouneine - Izemrane,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Izemrane,إزمران,douar,,rural,40,12,,-8.146799,30.873271
Ouneine - Ait Ihya,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Ait Ihya,أيت إحيا,douar,,rural,190,31,,-8.255835,30.8506
Ouneine - Dou Souk,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Dou Souk,دو السوق,douar,,rural,115,17,,-8.179805,30.86746
Ouneine - Tinmeslal,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Tinmeslal,تينمسلال,douar,,rural,96,16,,-8.187128399999999,30.8646914
Ouneine - Dar Igouzoulne,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Dar Igouzoulne,دار إكوزولن,douar,,rural,58,10,,-8.146356,30.864524
Ouneine - Tagadirt Nizemrane,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Tagadirt Nizemrane,تكاديرت نيزمران,douar,,rural,20,5,,-8.1943027,30.8610294
Ouneine - Agadir Ait Nacer,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Agadir Ait Nacer,أكادير أيت ناصر,douar,,rural,90,11,,-9.5981072,30.4277547
Ouneine - Aguerd,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Aguerd,أكرض,douar,,rural,60,12,,-8.154858,30.854466
Ouneine - Amdens,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Amdens,أمدنس,douar,,rural,30,7,,-8.22489,30.853621
Ouneine - Doutkad,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Doutkad,دوتكاض,douar,,rural,52,13,,-8.187128399999999,30.8646914
Ouneine - Imirguene,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Imirguene,إميركن,douar,,rural,140,27,7,-8.187128399999999,30.8646914
Ouneine - Tizgui Nmirguene,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Tizgui Nmirguene,تيزكي نميركن,sous-douar,,rural,24,7,0,-8.187128399999999,30.8646914
Ouneine - Lbouar,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Lbouar,لبوار,douar,,rural,66,14,,-8.187128399999999,30.8646914
Ouneine - Tagadirt Ntafoukt,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Tagadirt Ntafoukt,تكاديرت نتافوكت,douar,,rural,50,11,,-8.1943027,30.8610294
Ouneine - Tamsoult Nouguerd,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Tamsoult Nouguerd,تمسولت نوكرض,douar,,rural,52,13,,-8.187128399999999,30.8646914
Ouneine - Tiguenziw,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Tiguenziw,تيكنزيو,douar,,rural,29,6,,-8.187128399999999,30.8646914
Ouneine - Izarirne,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Izarirne,إزاريرن,douar,,rural,40,8,,-8.187128399999999,30.8646914
Ouneine - Lemnab,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Ouneine,Lemnab,المناب,douar,,rural,158,30,,-8.185732,30.868355
Sidi Abdellah Ou Said - Ait Amer,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Abdellah Ou Said,Ait Amer,أيت عمر,douar,,rural,87,16,,-8.682751399999999,30.7532462
Sidi Abdellah Ou Said - Amghlou,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Abdellah Ou Said,Amghlou,أمغلو,douar,,rural,195,40,,-8.682751399999999,30.7532462
Sidi Abdellah Ou Said - Andil,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Abdellah Ou Said,Andil,أنضيل,douar,,rural,58,18,,-8.665117,30.827338
Sidi Abdellah Ou Said - Anellif,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Abdellah Ou Said,Anellif,أنليف,douar,,rural,260,48,20,-8.682751399999999,30.7532462
Sidi Abdellah Ou Said - Ifs,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Abdellah Ou Said,Ifs,إفس,sous-douar,,rural,52,20,0,-8.674215,30.847264
Sidi Abdellah Ou Said - Aousaghmel,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Abdellah Ou Said,Aousaghmel,أوساغمل,douar,,rural,50,14,,-8.682751399999999,30.7532462
Sidi Abdellah Ou Said - Felghous,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Abdellah Ou Said,Felghous,فلغوس,douar,,rural,40,4,1,-8.682751399999999,30.7532462
Sidi Abdellah Ou Said - Tachawt,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Abdellah Ou Said,Tachawt,تشاوت,sous-douar,,rural,4,1,0,-8.682751399999999,30.7532462
Sidi Abdellah Ou Said - Fyil,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Abdellah Ou Said,Fyil,فييل,douar,,rural,207,38,,-8.682751399999999,30.7532462
Sidi Abdellah Ou Said - Tagmout,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Abdellah Ou Said,Tagmout,تكموت,douar,,rural,72,21,,-8.659733,30.833282
Sidi Abdellah Ou Said - Tawart,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Abdellah Ou Said,Tawart,توارت,douar,,rural,65,14,,-8.666146,30.838155
Sidi Abdellah Ou Said - Tazoudout,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Abdellah Ou Said,Tazoudout,تازوضوت,douar,,rural,40,3,,-8.682751399999999,30.7532462
Sidi Abdellah Ou Said - Imnaren,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Abdellah Ou Said,Imnaren,إمنارن,douar,,rural,70,17,,-8.682751399999999,30.7532462
Sidi Abdellah Ou Said - Amerchih,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Abdellah Ou Said,Amerchih,أمرشيح,douar,,rural,30,2,,-8.655671,30.810838
Sidi Abdellah Ou Said - Taourirt Medlaoua,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Abdellah Ou Said,Taourirt Medlaoua,تاوريرت مدلاوا,douar,,rural,40,11,,-8.679345,30.851903
Sidi Ouaaziz - Agadir Yatine,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Agadir Yatine,أكادير ياتين,douar,,rural,55,10,,-8.315346,30.693346
Sidi Ouaaziz - Agdour,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Agdour,أكدور,douar,,rural,162,46,,-8.258566,30.759753
Sidi Ouaaziz - Agadir Nouaaraben,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Agadir Nouaaraben,أكادير نواعرابن,douar,,rural,63,11,,-8.320307999999999,30.6866448
Sidi Ouaaziz - Agourguine,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Agourguine,أكوركين,douar,,rural,208,38,,-8.340331299999999,30.7094386
Sidi Ouaaziz - Ait Ali Touloua,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Ait Ali Touloua,أيت علي تولوا,douar,,rural,132,21,,-8.315155,30.724952
Sidi Ouaaziz - Ait Baazi,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Ait Baazi,أيت باعزي,douar,,rural,43,12,,-8.270932,30.754999
Sidi Ouaaziz - Ait Haddou,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Ait Haddou,أيت حدو,douar,,rural,51,10,,-8.307809,30.824206
Sidi Ouaaziz - Ait Hammou,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Ait Hammou,أيت حمو,douar,,rural,126,31,,-8.334016,30.724264
Sidi Ouaaziz - Ait Lilt,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Ait Lilt,أيت ليلت,douar,,rural,23,8,,-8.306072,30.827099
Sidi Ouaaziz - Ait Hmid,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Ait Hmid,أيت حميد,douar,,rural,43,9,,-8.324168,30.724053
Sidi Ouaaziz - Ait Helli,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Ait Helli,أيت حلي,douar,,rural,131,22,5,-8.340331299999999,30.7094386
Sidi Ouaaziz - Zawit Nizokniten,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Zawit Nizokniten,زاويت نيزوكنيتن,sous-douar,,rural,26,5,0,-8.320298,30.692618
Sidi Ouaaziz - Ait Maala Tametmazer,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Ait Maala Tametmazer,أيت معلا تامتمازر,douar,,rural,44,7,,-8.340331299999999,30.7094386
Sidi Ouaaziz - Ait Amer,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Ait Amer,أيت عامر,douar,,rural,56,13,,-8.340331299999999,30.7094386
Sidi Ouaaziz - Ait Slimane,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Ait Slimane,أيت سليمان,douar,,rural,146,32,,-8.272703,30.757321
Sidi Ouaaziz - Ait Tameldou,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Ait Tameldou,أيت تاملدو,douar,,rural,83,15,,-8.340331299999999,30.7094386
Sidi Ouaaziz - Ait Iyoub,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Ait Iyoub,أيت إيوب,douar,,rural,112,19,,-8.274375,30.804492
Sidi Ouaaziz - Ait Oussayh,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Ait Oussayh,أيت أوسايح,douar,,rural,351,56,,-8.340331299999999,30.7094386
Sidi Ouaaziz - Aman Oulili,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Aman Oulili,أمان أوليلي,douar,,rural,54,12,,-8.340053,30.768001
Sidi Ouaaziz - Amegdoul,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Amegdoul,أمكدول,douar,,rural,94,19,,-8.340331299999999,30.7094386
Sidi Ouaaziz - Amghaz,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Amghaz,أمغاز,douar,,rural,77,18,,-8.320571,30.776318
Sidi Ouaaziz - Amrouz,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Amrouz,أمروز,douar,,rural,148,21,,-8.316122,30.728205
Sidi Ouaaziz - Aouftout Nizddar,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Aouftout Nizddar,أوفتوت نيزدار,douar,,rural,590,95,,-8.340331299999999,30.7094386
Sidi Ouaaziz - Aouftout Noufella,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Aouftout Noufella,أوفتوت نوفلا,douar,,rural,123,22,,-8.352998399999999,30.70755249999999
Sidi Ouaaziz - Aourir Irk,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Aourir Irk,أورير إرك,douar,,rural,54,15,,-8.287387,30.746988
Sidi Ouaaziz - Ait Iaaza,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Ait Iaaza,أيت إيعزة,douar,,rural,54,11,,-8.340331299999999,30.7094386
Sidi Ouaaziz - Azazi Taghlamt,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Azazi Taghlamt,أزازي تغلامت,douar,,rural,41,7,,-8.323525,30.683528
Sidi Ouaaziz - Bidoughane,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Bidoughane,بيدوغان,douar,,rural,262,60,,-8.3027293,30.7240704
Sidi Ouaaziz - Dou Iskel,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Dou Iskel,دو إسكل,douar,,rural,84,19,,-8.340331299999999,30.7094386
Sidi Ouaaziz - Lemdad,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Lemdad,المداد,douar,,rural,117,29,,-8.340331299999999,30.7094386
Sidi Ouaaziz - Ifri,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Ifri,إفري,douar,,rural,157,23,,-8.283231,30.821954
Sidi Ouaaziz - Iguerguar,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Iguerguar,إكركار,douar,,rural,80,15,,-8.357922,30.719917
Sidi Ouaaziz - Ighira,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Ighira,إغيرا,douar,,rural,129,26,,-8.340331299999999,30.7094386
Sidi Ouaaziz - Ouilzane,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Ouilzane,ويلزان,douar,,rural,143,39,,-8.340331299999999,30.7094386
Sidi Ouaaziz - Start,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Start,سطارت,douar,,rural,101,25,,-8.353787,30.720963
Sidi Ouaaziz - Taberbourt,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Taberbourt,تابربورت,douar,,rural,290,58,,-8.340331299999999,30.7094386
Sidi Ouaaziz - Tagdacht,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Tagdacht,تكضاشت,douar,,rural,83,15,5,-8.30184,30.819996
Sidi Ouaaziz - Talainte,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Talainte,تلعينت,sous-douar,,rural,16,5,0,-8.340331299999999,30.7094386
Sidi Ouaaziz - Tirest,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Tirest,تيرست,douar,,rural,78,17,,-8.340331299999999,30.7094386
Sidi Ouaaziz - Taguendout,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Taguendout,تكنضوت,douar,,rural,355,72,,-8.340331299999999,30.7094386
Sidi Ouaaziz - Takeltemt,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Takeltemt,تاكلتمت,douar,,rural,184,44,,-8.340331299999999,30.7094386
Sidi Ouaaziz - Tamjercht,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Tamjercht,تامجرشت,douar,,rural,90,19,,-8.304755,30.793827
Sidi Ouaaziz - Taourrakt,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Taourrakt,تاوراكت,douar,,rural,192,38,,-8.340331299999999,30.7094386
Sidi Ouaaziz - Targante,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Targante,تركانت,douar,,rural,64,17,,-8.340331299999999,30.7094386
Sidi Ouaaziz - Tifert,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Tifert,تيفرط,douar,,rural,5,2,,-8.340331299999999,30.7094386
Sidi Ouaaziz - Tiftit,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Tiftit,تيفتيت,douar,,rural,63,19,,-8.284312,30.755544
Sidi Ouaaziz - Tyouli,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Tyouli,تيولي,douar,,rural,64,8,,-8.340331299999999,30.7094386
Sidi Ouaaziz - Touchaa,10-30Km zone a risque tres eleve,Souss-Massa,Taroudannt,Oulad Berhil,Sidi Ouaaziz,Touchaa,توشعا,douar,,rural,328,64,,-8.335058,30.727298
